swc_file,num_nodes,soma_surface,num_stems,num_bifurcations,num_branches,num_of_tips,overall_x_span,overall_y_span,overall_z_span,average_diameter,total_length,total_surface,total_volume,max_euclidean_distance,max_path_distance,max_branch_order,average_contraction,average_fragmentation,parent_daughter_ratio,bifurcation_angle_local,bifurcation_angle_remote,moment1,moment2,moment3,moment4,moment5,moment6,moment7,moment8,moment9,moment10,moment11,moment12,moment13,ave_R
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/01_100.v3dpbd_smartTracing.swc_resampled.swc_sorted.swc, 205.00000000, 0.00000000, 1.00000000, 20.00000000, 41.00000000, 21.00000000, 27.25399780, 21.66999817, 29.55800056, 2.40543415, 205.24326127, 1492.10774503, 947.20818214, 42.44702006, 55.30128507, 12.00000000, 0.90154536, 3.97560976, 1.09438750, 64.82400153, 72.28528123, 2178.00000000, 202010.44456562, 6371793398.53337383, 40918702427548.65625000, -0.04352644, -0.28434024, 0.00119222, 0.00033074, -0.00060917, -0.00079781, 0.00935507, -0.00523028, 0.01522185, 1.20271707
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/02_100.v3dpbd_axis_analyzer_updated.swc_resampled.swc_sorted.swc, 111.00000000, 0.00000000, 10.00000000, 12.00000000, 34.00000000, 23.00000000, 27.36000061, 19.76999664, 29.17799950, 1.98198198, 326.90139314, 2053.98203025, 1026.99101512, 42.89992784, 56.86453845, 8.00000000, 0.93837427, 2.23529412, 1.00000000, 95.13023766, 86.44654259, 3320.00000000, 470565.50027916, 11823267869.00067520, 52705543327021.00000000, -0.00161787, -0.00550416, 0.00000346, 0.00000027, -0.00000052, -0.00000032, 0.00044120, -0.00016925, 0.00028247, 0.99099099
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/03_100.v3dpbd_fastmarching_spanningtree_updated.swc_resampled.swc_sorted.swc, 145.00000000, 0.00000000, 1.00000000, 17.00000000, 36.00000000, 19.00000000, 25.16499329, 20.31900024, 30.38599968, 1.66776551, 135.95095579, 711.41093487, 381.06996242, 41.20588906, 64.03977492, 10.00000000, 0.87461010, 3.00000000, 1.12993246, 96.90277275, 101.34059991, 1434.00000000, 156452.31752411, 2670728297.57676935, 8372391420497.27343750, -0.07366317, -0.49442379, 0.00336961, 0.00098146, -0.00174521, -0.00234707, 0.01783301, -0.01098646, 0.03151441, 0.83388276
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/04_100.v3dpbd_Advantra_updated.swc_resampled.swc_sorted.swc, 144.00000000, 0.00000000, 1.00000000, 6.00000000, 18.00000000, 12.00000000, 29.47000122, 23.29799652, 34.13999939, 8.17037502, 154.26170138, 3992.39311227, 8305.49605567, 43.58585418, 67.84396672, 5.00000000, 0.90465234, 6.94444444, 0.97067533, 104.82646769, 121.21896067, 1636.00000000, 244861.18242740, 6194775193.20895672, 27615746110630.28125000, -0.07788341, -0.48761325, 0.00374211, 0.00101982, -0.00187838, -0.00239403, 0.01910409, -0.01152826, 0.03148552, 4.08518751
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/05_100.v3dpbd_snake.swc_resampled.swc_sorted.swc, 133.00000000, 0.00000000, 2.00000000, 7.00000000, 14.00000000, 8.00000000, 28.02099609, 24.13299561, 34.94499779, 3.94048120, 167.58491692, 1911.58275722, 1821.25267965, 41.66302458, 64.13600189, 4.00000000, 0.80604224, 8.42857143, 1.00000000, 105.06189116, 86.03799388, 1756.00000000, 342697.24088427, 8788363619.49212456, 33662869985302.37500000, -0.02247507, -0.09511446, 0.00033815, 0.00005940, -0.00012171, -0.00011249, 0.00461065, -0.00278970, 0.00516968, 1.97024060
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/06_100.v3dpbd_LCMboost.swc_resampled.swc_sorted.swc, 119.00000000, 0.00000000, 1.00000000, 10.00000000, 21.00000000, 11.00000000, 27.04100037, 22.33699799, 32.24599838, 2.45042017, 121.34451014, 931.66606376, 625.47971792, 41.67110312, 53.51045678, 9.00000000, 0.94546385, 4.61904762, 0.92602500, 73.60603792, 85.77864282, 1284.00000000, 174694.15994699, 2922616996.87559652, 8148810674052.92187500, -0.06771955, -0.42534373, 0.00286431, 0.00077970, -0.00141702, -0.00181731, 0.01647345, -0.00980205, 0.02693641, 1.22521009
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/07_100.v3dpbd_EnsembleNeuronTracerV2n.swc_resampled.swc_sorted.swc, 149.00000000, 0.00000000, 1.00000000, 14.00000000, 32.00000000, 18.00000000, 28.06500244, 21.99700165, 32.61599922, 2.40036242, 149.87645969, 1112.92495683, 719.93889311, 43.83074580, 55.47152423, 7.00000000, 0.94104319, 3.62500000, 1.02185484, 91.46500537, 87.91519544, 1591.00000000, 197426.18326601, 4281391771.54460621, 13908924854243.46875000, -0.08400180, -0.53233876, 0.00436675, 0.00119988, -0.00218319, -0.00284331, 0.01991848, -0.01192448, 0.03309358, 1.20018121
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/08_100.v3dpbd_neutube_updated.swc_resampled.swc_sorted.swc, 114.00000000, 0.00000000, 1.00000000, 6.00000000, 13.00000000, 7.00000000, 27.94200134, 21.55599976, 29.49899864, 2.72400000, 121.73069850, 1033.71231376, 748.37086798, 43.62768476, 64.08546380, 4.00000000, 0.85968840, 7.69230769, 0.97693512, 104.91662031, 117.86059345, 1285.00000000, 140631.67054758, 2140762378.88110995, 6861245047061.14843750, -0.06261400, -0.36546430, 0.00244695, 0.00060644, -0.00114951, -0.00143734, 0.01471522, -0.00854574, 0.02201186, 1.36200000
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/09_100.v3dpbd_app2new3.swc_resampled.swc_sorted.swc, 112.00000000, 0.00000000, 1.00000000, 7.00000000, 15.00000000, 8.00000000, 27.00599670, 21.03299713, 29.66800117, 2.50739286, 114.88455832, 889.73465909, 611.08064847, 41.81839399, 51.04627786, 7.00000000, 0.88385587, 6.40000000, 1.42132144, 68.88036389, 74.21437475, 1220.00000000, 141694.92987249, 2126746440.78053045, 5702499347880.90625000, -0.05792966, -0.34379314, 0.00212433, 0.00053487, -0.00099460, -0.00123883, 0.01324826, -0.00781622, 0.02065833, 1.25369643
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/auto_recons/10_100.v3dpbd_LCMboost_updated.swc_resampled.swc_sorted.swc, 119.00000000, 0.00000000, 1.00000000, 10.00000000, 21.00000000, 11.00000000, 27.04100037, 22.33699799, 32.24599838, 2.45042017, 121.34451014, 931.66606376, 625.47971792, 41.67110312, 53.51045678, 9.00000000, 0.94546385, 4.61904762, 0.92602500, 73.60603792, 85.77864282, 1284.00000000, 174694.15994699, 2922616996.87559652, 8148810674052.92187500, -0.06771955, -0.42534373, 0.00286431, 0.00077970, -0.00141702, -0.00181731, 0.01647345, -0.00980205, 0.02693641, 1.22521009
