swc_file,num_nodes,soma_surface,num_stems,num_bifurcations,num_branches,num_of_tips,overall_x_span,overall_y_span,overall_z_span,average_diameter,total_length,total_surface,total_volume,max_euclidean_distance,max_path_distance,max_branch_order,average_contraction,average_fragmentation,parent_daughter_ratio,bifurcation_angle_local,bifurcation_angle_remote,moment1,moment2,moment3,moment4,moment5,moment6,moment7,moment8,moment9,moment10,moment11,moment12,moment13,ave_R
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/01_100.v3dpbd_smartTracing.swc, 578.00000000, 171.50489631, 1.00000000, 20.00000000, 41.00000000, 21.00000000, 72.54501343, 58.66101074, 77.92520142, 2.42721187, 553.27809197, 4173.84416397, 2821.05124977, 113.37348400, 149.30819314, 12.00000000, 0.88435558, 13.07317073, 1.11551846, 66.51922961, 72.28803315, 5641.00000000, 3684723.29228479, 2104609867999.12939453, 242934934022994560.00000000, -0.09981072, -0.65706597, 0.00602551, 0.00175752, -0.00314000, -0.00423187, 0.02122271, -0.01214239, 0.03536466, 1.21999747
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/02_100.v3dpbd_axis_analyzer_updated.swc, 299.00000000, 12.56637061, 1.00000000, 11.00000000, 1.00000000, 22.00000000, 72.00000000, 52.92898560, 76.00000000, 1.93979933, 270.93122574, 1702.31109685, 851.15554842, 106.12149398, 9.74708868, 1.00000000, 0.91688253, 9.00000000, 1.00000000, 0.00000000, 0.00000000, 2832.00000000, 1906172.13317607, 385810505835.23767090, 15310773989862112.00000000, -0.19666283, -1.38060079, 0.02341542, 0.00729417, -0.01250775, -0.01799383, 0.04639194, -0.02955901, 0.08653292, 1.00000000
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/03_100.v3dpbd_fastmarching_spanningtree_updated.swc, 400.00000000, 72.51686913, 1.00000000, 17.00000000, 36.00000000, 19.00000000, 66.22399902, 54.15100098, 81.37770844, 1.69287697, 370.96107080, 1967.60633292, 1056.72511749, 112.27515726, 176.11809271, 10.00000000, 0.85235090, 10.08333333, 1.02447669, 94.96394224, 101.34422099, 3888.00000000, 2864375.11505839, 909596265082.57189941, 53775888881227264.00000000, -0.15370858, -1.03373147, 0.01432518, 0.00427429, -0.00747646, -0.01025466, 0.03642848, -0.02281225, 0.06571642, 0.85244406
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/04_100.v3dpbd_Advantra_updated.swc, 411.00000000, 314.15926536, 2.00000000, 7.00000000, 19.00000000, 13.00000000, 77.65399170, 61.30899048, 89.84100342, 8.20151538, 397.30495304, 10244.64438489, 21214.74001057, 115.64182310, 155.29447423, 5.00000000, 0.90815978, 20.57894737, 0.99304749, 111.46679091, 125.98190446, 4159.00000000, 3724703.91200268, 1659461874266.46044922, 133149812149811072.00000000, -0.15968997, -0.99188372, 0.01545608, 0.00424266, -0.00773613, -0.00996041, 0.03662660, -0.02219230, 0.06082793, 4.11292314
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/05_100.v3dpbd_snake.swc, 379.00000000, 50.26548246, 3.00000000, 8.00000000, 17.00000000, 10.00000000, 74.05200195, 63.85000610, 92.84589767, 3.96878827, 368.89600829, 4611.09184018, 4603.19547973, 111.56095937, 164.23203189, 7.00000000, 0.88462518, 21.23529412, 1.00000000, 104.42545691, 101.61598352, 3838.00000000, 4657794.79913057, 1910851895317.37695312, 127543754221520896.00000000, -0.11769705, -0.68733701, 0.00851002, 0.00222305, -0.00405236, -0.00490315, 0.02750357, -0.01731165, 0.04431805, 1.98967118
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/06_100.v3dpbd_LCMboost.swc, 332.00000000, 113.09733553, 2.00000000, 10.00000000, 20.00000000, 11.00000000, 70.21099854, 58.78100586, 84.85800171, 2.48349084, 318.46230661, 2463.97654098, 1649.57130004, 110.65598083, 138.46290194, 8.00000000, 0.93587431, 15.55000000, 0.98761100, 68.42329998, 85.78134167, 3342.00000000, 3046595.57854904, 922651553099.81530762, 46680871546447360.00000000, -0.14633813, -0.91865435, 0.01307092, 0.00362842, -0.00649608, -0.00850045, 0.03464380, -0.02081168, 0.05744184, 1.25078157
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/07_100.v3dpbd_EnsembleNeuronTracerV2n.swc, 413.00000000, 50.26548246, 2.00000000, 17.00000000, 34.00000000, 21.00000000, 73.85498047, 57.88598633, 85.83200073, 2.41255806, 391.61533235, 2956.09267241, 1936.97152948, 114.84768276, 133.99253683, 7.00000000, 0.95148252, 10.67647059, 0.99196767, 78.37964294, 78.80354476, 4063.00000000, 3146606.86442952, 1205807636404.87841797, 70637075567584512.00000000, -0.16872547, -1.05155998, 0.01731315, 0.00474287, -0.00855963, -0.01124224, 0.03760335, -0.02241980, 0.06227663, 1.21354295
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/08_100.v3dpbd_neutube_updated.swc, 328.00000000, 11.36628129, 2.00000000, 7.00000000, 14.00000000, 8.00000000, 71.38998413, 51.11801147, 76.73099518, 2.73252099, 321.66113878, 2758.44536819, 2014.74915349, 109.93153942, 163.09588380, 4.00000000, 0.86072448, 22.35714286, 0.99236491, 89.91014113, 125.12413617, 3378.00000000, 2263435.68394705, 626254347383.36035156, 37196333388810944.00000000, -0.11484879, -0.62727557, 0.00783271, 0.00190007, -0.00357694, -0.00445862, 0.02454361, -0.01421906, 0.03533342, 1.36916004
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/09_100.v3dpbd_app2new3.swc, 314.00000000, 94.52793404, 1.00000000, 7.00000000, 15.00000000, 8.00000000, 69.78198242, 55.35098267, 76.76509094, 2.53570554, 304.21498239, 2421.02134134, 1704.89821044, 108.61988445, 133.47965366, 7.00000000, 0.86949838, 19.86666667, 1.23621141, 65.95827825, 74.21558631, 3152.00000000, 2423137.10329404, 651950950366.01293945, 31484323068741248.00000000, -0.11930906, -0.69408668, 0.00872538, 0.00221754, -0.00404730, -0.00512886, 0.02600203, -0.01552733, 0.04074847, 1.27658742
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/10_100.v3dpbd_LCMboost_updated.swc, 332.00000000, 113.09733553, 2.00000000, 10.00000000, 20.00000000, 11.00000000, 70.21099854, 58.78100586, 84.85800171, 2.48349084, 318.46230661, 2463.97654098, 1649.57130004, 110.65598083, 138.46290194, 8.00000000, 0.93587431, 15.55000000, 0.98761100, 68.42329998, 85.78134167, 3342.00000000, 3046595.57854904, 922651553099.81530762, 46680871546447360.00000000, -0.14633813, -0.91865435, 0.01307092, 0.00362842, -0.00649608, -0.00850045, 0.03464380, -0.02081168, 0.05744184, 1.25078157
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/11_100.v3dpbd_x341_y323_z70_app2.swc, 293.00000000, 109.26618434, 1.00000000, 6.00000000, 13.00000000, 7.00000000, 69.84698486, 55.78298950, 76.79598999, 2.54933215, 284.44574666, 2271.09453441, 1613.96627819, 109.27114266, 135.25217852, 7.00000000, 0.87739722, 21.46153846, 1.03426478, 79.99137334, 83.78185716, 2947.00000000, 2437956.38704245, 574692302866.26477051, 26075055496597120.00000000, -0.10380935, -0.63947409, 0.00654867, 0.00176901, -0.00320915, -0.00420874, 0.02429949, -0.01454901, 0.04012069, 1.28473007
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/12_100.v3dpbd_simple.swc, 390.00000000, 12.56637061, 1.00000000, 20.00000000, 41.00000000, 21.00000000, 61.00000000, 57.00000000, 77.79319763, 2.08151149, 357.15750579, 2339.28975073, 1252.72148144, 110.52283418, 149.77050599, 9.00000000, 0.85262935, 8.48780488, 1.00202463, 107.32519353, 99.90628586, 3762.00000000, 3197721.23188421, 788669919835.77465820, 39701533942067840.00000000, -0.18557958, -1.26675614, 0.02077439, 0.00641145, -0.01115162, -0.01524203, 0.04955248, -0.03173340, 0.08872001, 1.04331985
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/13_100.v3dpbd_tubularity_model_S.v3draw_MST_Tracing_Ws_21_th_200.swc, 306.00000000, 12.56637061, 2.00000000, 5.00000000, 12.00000000, 8.00000000, 69.00000000, 55.00000000, 78.05709839, 1.99346405, 295.18263241, 1854.68717887, 927.34358944, 110.97752799, 166.10683986, 5.00000000, 0.81727730, 24.41666667, 1.00000000, 72.60579887, 68.44037604, 3064.00000000, 2531265.60692500, 528541778029.01770020, 16421525112542464.00000000, -0.13266657, -0.78486756, 0.01087512, 0.00282318, -0.00507091, -0.00643594, 0.03166642, -0.01966197, 0.05031415, 1.00000000
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1/100/processed/14_100.v3dpbd_EnsembleNeuronTracerV2s.swc, 432.00000000, 50.26548246, 3.00000000, 17.00000000, 36.00000000, 23.00000000, 75.85198975, 59.88198853, 88.90720749, 2.33597504, 410.02612641, 2986.91775080, 1865.86051722, 111.98581279, 131.45653692, 9.00000000, 0.91895176, 10.77777778, 0.99188694, 81.58632357, 78.43891597, 4272.00000000, 3905213.98386371, 1460929947060.68652344, 92691463821551872.00000000, -0.18074173, -1.12793596, 0.01982743, 0.00545551, -0.00988032, -0.01304580, 0.04394705, -0.02632342, 0.07113319, 1.17493197
