swc_file,num_nodes,soma_surface,num_stems,num_bifurcations,num_branches,num_of_tips,overall_x_span,overall_y_span,overall_z_span,average_diameter,total_length,total_surface,total_volume,max_euclidean_distance,max_path_distance,max_branch_order,average_contraction,average_fragmentation,parent_daughter_ratio,bifurcation_angle_local,bifurcation_angle_remote,moment1,moment2,moment3,moment4,moment5,moment6,moment7,moment8,moment9,moment10,moment11,moment12,moment13,ave_R
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/01_100.v3dpbd_smartTracing.swc_resampled.swc_sorted.swc, 205.00000000, 0.00000000, 1.00000000, 20.00000000, 41.00000000, 21.00000000, 34.23800659, 22.83300018, 53.07799721, 2.40352195, 262.84540212, 2085.73642041, 1611.91525650, 63.15258525, 80.37645689, 12.00000000, 0.90389707, 3.97560976, 1.09115000, 65.74719644, 74.20393622, 2728.00000000, 572247.81320171, 28342475862.75432587, 307038135503907.50000000, -0.12661504, -0.93643307, 0.00883872, 0.00307526, -0.00507023, -0.00876109, 0.03559791, -0.02215778, 0.06816041, 1.20176098
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/02_100.v3dpbd_axis_analyzer_updated.swc_resampled.swc_sorted.swc, 106.00000000, 0.00000000, 9.00000000, 12.00000000, 33.00000000, 22.00000000, 33.85699463, 21.01300812, 52.53799629, 1.98113208, 462.27642985, 2904.56847187, 1452.28423593, 63.34839416, 75.23439684, 9.00000000, 0.93551370, 2.18181818, 1.00000000, 96.33262756, 83.98967825, 4678.00000000, 1495237.15194678, 48001923429.92738342, 350784204981476.00000000, -0.00056184, -0.00707017, 0.00000138, 0.00000010, -0.00000028, -0.00000035, 0.00050205, -0.00014921, 0.00060218, 0.99056604
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/03_100.v3dpbd_fastmarching_spanningtree_updated.swc_resampled.swc_sorted.swc, 143.00000000, 0.00000000, 1.00000000, 17.00000000, 36.00000000, 19.00000000, 32.04100037, 20.73500061, 52.36000252, 1.67577622, 172.19057707, 954.23187562, 547.50270850, 62.21211039, 88.05699391, 10.00000000, 0.87670996, 2.94444444, 1.12940621, 99.52983440, 103.69290898, 1796.00000000, 444611.21585685, 11109612825.85797119, 54683984951760.12500000, -0.12948922, -0.96538179, 0.00908407, 0.00325999, -0.00525443, -0.00932422, 0.03831452, -0.02482088, 0.07597522, 0.83788811
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/04_100.v3dpbd_Advantra_updated.swc_resampled.swc_sorted.swc, 143.00000000, 0.00000000, 1.00000000, 6.00000000, 18.00000000, 12.00000000, 35.25999451, 24.34000397, 52.84199715, 8.18362236, 183.52825285, 4769.43008945, 9968.69824419, 64.42341550, 84.75489810, 5.00000000, 0.91483657, 6.88888889, 0.96852992, 102.86005145, 120.94960213, 1898.00000000, 517906.11095857, 17543717984.79791641, 118903717365599.75000000, -0.11813934, -0.84482882, 0.00747135, 0.00260960, -0.00424544, -0.00736236, 0.03351667, -0.02162072, 0.06474187, 4.09181118
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/05_100.v3dpbd_snake.swc_resampled.swc_sorted.swc, 134.00000000, 0.00000000, 1.00000000, 8.00000000, 17.00000000, 9.00000000, 33.83399963, 25.34799957, 52.21299934, 3.92617910, 173.32877341, 2066.47522998, 2052.94126794, 62.26199997, 90.93575404, 8.00000000, 0.87317114, 6.82352941, 1.00000000, 98.01439197, 84.97605177, 1804.00000000, 608117.18125776, 19794729239.84235001, 120052650631077.00000000, -0.06082300, -0.41915207, 0.00206766, 0.00066755, -0.00111784, -0.00184043, 0.01733206, -0.01092321, 0.03201520, 1.96308955
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/06_100.v3dpbd_LCMboost.swc_resampled.swc_sorted.swc, 118.00000000, 0.00000000, 1.00000000, 9.00000000, 19.00000000, 10.00000000, 34.05000305, 23.33599091, 52.36100197, 2.45567797, 153.46253486, 1166.65238786, 774.57873958, 61.69797316, 78.57019691, 8.00000000, 0.93442575, 5.15789474, 0.97727779, 75.12311055, 79.91550865, 1595.00000000, 474538.08466741, 11685274864.02505875, 52740826583458.00000000, -0.09576517, -0.70044438, 0.00494894, 0.00175226, -0.00282850, -0.00500680, 0.02838915, -0.01799163, 0.05487073, 1.22783898
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/07_100.v3dpbd_EnsembleNeuronTracerV2n.swc_resampled.swc_sorted.swc, 152.00000000, 0.00000000, 2.00000000, 17.00000000, 36.00000000, 20.00000000, 34.80599976, 22.98099518, 54.00100136, 2.41382895, 228.94936277, 1684.54154948, 1058.91735818, 65.11780565, 76.01063406, 7.00000000, 0.95785663, 3.19444444, 0.99567920, 84.57015897, 81.34761477, 2356.00000000, 731081.52129532, 26660271830.32017517, 150750804050783.50000000, -0.05509755, -0.39896309, 0.00155753, 0.00057933, -0.00090537, -0.00166441, 0.01636019, -0.01041661, 0.03162367, 1.20691448
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/08_100.v3dpbd_neutube_updated.swc_resampled.swc_sorted.swc, 116.00000000, 0.00000000, 1.00000000, 6.00000000, 13.00000000, 7.00000000, 34.99099731, 20.29399872, 52.99499702, 2.71893103, 155.88146858, 1288.98609259, 911.58406812, 64.46863639, 89.33327717, 4.00000000, 0.84417195, 7.84615385, 0.97995164, 101.63113752, 116.94761824, 1610.00000000, 420488.33068386, 9367068311.28463936, 46851580133081.62500000, -0.12098513, -0.86181625, 0.00742101, 0.00274730, -0.00432257, -0.00779695, 0.03504985, -0.02311990, 0.06887127, 1.35946552
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/09_100.v3dpbd_app2new3.swc_resampled.swc_sorted.swc, 111.00000000, 0.00000000, 1.00000000, 7.00000000, 15.00000000, 8.00000000, 34.01400757, 20.92900085, 53.19600105, 2.47855856, 146.75767161, 1184.33475373, 845.99975662, 63.04463867, 74.49085687, 7.00000000, 0.87550423, 6.33333333, 1.38571428, 68.78561536, 74.44942068, 1519.00000000, 429090.42030977, 9249635990.70912933, 38818605802828.62500000, -0.09997587, -0.72361379, 0.00523957, 0.00189929, -0.00302288, -0.00540377, 0.02940898, -0.01912320, 0.05766681, 1.23927928
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/10_100.v3dpbd_LCMboost_updated.swc_resampled.swc_sorted.swc, 118.00000000, 0.00000000, 1.00000000, 9.00000000, 19.00000000, 10.00000000, 34.05000305, 23.33599091, 52.36100197, 2.45567797, 153.46253486, 1166.65238786, 774.57873958, 61.69797316, 78.57019691, 8.00000000, 0.93442575, 5.15789474, 0.97727779, 75.12311055, 79.91550865, 1595.00000000, 474538.08466741, 11685274864.02505875, 52740826583458.00000000, -0.09576517, -0.70044438, 0.00494894, 0.00175226, -0.00282850, -0.00500680, 0.02838915, -0.01799163, 0.05487073, 1.22783898
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/11_100.v3dpbd_x341_y323_z70_app2.swc_resampled.swc_sorted.swc, 104.00000000, 0.00000000, 1.00000000, 6.00000000, 13.00000000, 7.00000000, 34.01400757, 21.51900482, 53.19600105, 2.52786538, 139.36762929, 1165.97859911, 883.13814164, 63.04463867, 75.65259123, 7.00000000, 0.87544328, 6.92307692, 1.14881945, 79.05192562, 86.52439876, 1443.00000000, 434838.04104987, 8316720603.32507133, 33111626708296.50000000, -0.08274804, -0.60663932, 0.00363115, 0.00131398, -0.00210553, -0.00376144, 0.02502981, -0.01606166, 0.04891622, 1.26393269
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/12_100.v3dpbd_simple.swc_resampled.swc_sorted.swc, 142.00000000, 0.00000000, 1.00000000, 20.00000000, 41.00000000, 21.00000000, 29.57000732, 22.62899780, 50.37800026, 2.08670423, 157.30844069, 1031.46628826, 553.80447165, 59.77013668, 73.85684783, 9.00000000, 0.91619407, 2.43902439, 1.02793750, 107.64510313, 101.73095321, 1638.00000000, 448448.99683296, 7877297226.82621574, 30101571354830.25000000, -0.10665188, -0.80457480, 0.00640159, 0.00222315, -0.00367132, -0.00637250, 0.03337530, -0.02121972, 0.06509408, 1.04335211
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/13_100.v3dpbd_tubularity_model_S.v3draw_MST_Tracing_Ws_21_th_200.swc_resampled.swc_sorted.swc, 107.00000000, 0.00000000, 1.00000000, 4.00000000, 11.00000000, 7.00000000, 32.74600220, 21.83500671, 53.07799721, 1.98130841, 138.07449865, 867.54766119, 433.77383060, 63.16339334, 85.62769673, 5.00000000, 0.81663109, 8.63636364, 1.00000000, 48.76446662, 50.65641021, 1428.00000000, 425944.26013402, 6441271803.72230148, 17544133995684.00000000, -0.07626767, -0.56035914, 0.00324850, 0.00111336, -0.00182940, -0.00316137, 0.02371289, -0.01495733, 0.04540132, 0.99065421
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/14_100.v3dpbd_EnsembleNeuronTracerV2s.swc_resampled.swc_sorted.swc, 158.00000000, 0.00000000, 2.00000000, 17.00000000, 37.00000000, 21.00000000, 34.71800232, 23.77300262, 53.48400307, 2.34651899, 253.71196861, 1767.59781497, 1044.36898168, 64.16435120, 78.83972480, 10.00000000, 0.93881440, 3.24324324, 0.97647143, 84.58826738, 80.91663456, 2609.00000000, 824727.85927043, 31396763716.06128693, 251540739305691.00000000, -0.05364949, -0.39463623, 0.00153230, 0.00055392, -0.00088169, -0.00159587, 0.01661187, -0.01037005, 0.03185172, 1.17325949
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/15_100.v3dpbd_ENT_updated.swc_resampled.swc_sorted.swc, 151.00000000, 0.00000000, 3.00000000, 18.00000000, 40.00000000, 23.00000000, 34.80599976, 23.77300262, 54.00100136, 3.79263577, 283.81147048, 3132.75858941, 3139.00735679, 65.11780565, 74.37528905, 9.00000000, 0.96270003, 2.75000000, 0.99873424, 83.65754401, 83.52179207, 2905.00000000, 927286.38481744, 31910861562.77460480, 201418959438821.00000000, -0.02270962, -0.15889253, 0.00026584, 0.00009603, -0.00015057, -0.00027150, 0.00708980, -0.00437540, 0.01309374, 1.89631789
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/16_100.v3dpbd_tubularity_model_S.v3draw_MST_Tracing_Ws_21_th_170_updated.swc_resampled.swc_sorted.swc, 107.00000000, 0.00000000, 1.00000000, 4.00000000, 11.00000000, 7.00000000, 33.14300537, 22.03099060, 53.07799721, 1.98130841, 139.89429456, 878.98177615, 439.49088807, 63.43399582, 86.85423337, 5.00000000, 0.80353075, 8.63636364, 1.00000000, 114.36995555, 111.53316927, 1448.00000000, 415976.45392500, 7119404029.04878998, 21368608809374.12500000, -0.09102638, -0.66894056, 0.00455267, 0.00158711, -0.00258905, -0.00452283, 0.02790162, -0.01768132, 0.05379318, 0.99065421
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/17_100.v3dpbd_XY_3D_TreMap.swc_resampled.swc_sorted.swc, 81.00000000, 0.00000000, 2.00000000, 7.00000000, 15.00000000, 9.00000000, 29.88800049, 18.69300079, 51.43499947, 3.95061728, 144.34170271, 1813.85133131, 1813.85133131, 61.09081275, 71.72865519, 6.00000000, 0.88704257, 4.33333333, 1.00000000, 85.75564695, 81.51477280, 1483.00000000, 507991.71032078, 9689220371.43568039, 30107390008167.37500000, -0.01763784, -0.10611172, 0.00013531, 0.00005183, -0.00007698, -0.00013824, 0.00513022, -0.00303445, 0.00842255, 1.97530864
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/19_100.v3dpbd_NeuronChaser_updated.swc_resampled.swc_sorted.swc, 117.00000000, 0.00000000, 1.00000000, 11.00000000, 26.00000000, 15.00000000, 34.10200500, 23.40099335, 52.53799629, 8.06885470, 146.00334341, 3781.12208689, 7874.03449166, 62.92281397, 78.14210042, 7.00000000, 0.95141549, 3.46153846, 0.99463627, 55.61400982, 57.55172501, 1516.00000000, 545829.03080239, 12859715912.63297653, 57958991312300.25000000, -0.02746873, -0.16372077, 0.00045053, 0.00011983, -0.00020550, -0.00030208, 0.00749647, -0.00468374, 0.01238204, 4.03442735
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/20_100.v3dpbd_MST_Tracing.swc_resampled.swc_sorted.swc, 195.00000000, 0.00000000, 1.00000000, 15.00000000, 31.00000000, 16.00000000, 32.52600098, 22.52799988, 52.91299629, 2.36993846, 225.44524415, 1673.23486509, 1074.27710038, 62.61905068, 99.66119821, 10.00000000, 0.75992306, 5.25806452, 1.03903889, 96.75633749, 99.19400085, 2351.00000000, 602376.66959588, 18937614682.78832626, 123555439624724.00000000, -0.12887529, -0.98591283, 0.00920715, 0.00329468, -0.00535565, -0.00950873, 0.03908441, -0.02506710, 0.07790121, 1.18496923
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/21_100.v3dpbd_meanshift.swc_resampled.swc_sorted.swc, 87.00000000, 0.00000000, 1.00000000, 3.00000000, 7.00000000, 4.00000000, 32.74600220, 19.86799622, 51.99800301, 2.67951727, 119.94548900, 1205.19622855, 1216.22920048, 62.25859629, 75.59070632, 4.00000000, 0.67166987, 11.28571429, 1.03765826, 94.99610182, 107.12177304, 1245.00000000, 341536.41855328, 3486293997.02762508, 8300836800511.12500000, -0.08090807, -0.61176328, 0.00355291, 0.00128696, -0.00207082, -0.00374565, 0.02622038, -0.01651066, 0.05117350, 1.33975863
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/22_100.v3dpbd_NeuroGPSTree_updated.swc_resampled.swc_sorted.swc, 99.00000000, 0.00000000, 1.00000000, 5.00000000, 11.00000000, 6.00000000, 35.64900208, 24.48300171, 53.97799873, 4.08894949, 132.78553633, 1588.19032514, 2026.52479400, 65.59893083, 79.09186062, 6.00000000, 0.90192246, 7.90909091, 1.00412348, 86.70979844, 106.44837734, 1376.00000000, 435696.93011194, 10688620398.33344269, 46328345529218.62500000, -0.05113425, -0.32353894, 0.00147611, 0.00043884, -0.00073091, -0.00115361, 0.01360453, -0.00870343, 0.02408603, 2.04447475
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/23_100.v3dpbd_Advantra.swc_resampled.swc_sorted.swc, 210.00000000, 0.00000000, 1.00000000, 17.00000000, 39.00000000, 22.00000000, 35.30599976, 30.74099731, 53.73500252, 8.10082858, 259.25559892, 6603.73729327, 13512.09518020, 65.19599357, 87.63560719, 11.00000000, 0.94746261, 4.35897436, 1.00658897, 98.26309226, 96.69834206, 2700.00000000, 776158.27438239, 48290822990.07259369, 672308365603866.00000000, -0.06587143, -0.46932179, 0.00254480, 0.00080275, -0.00138953, -0.00219689, 0.01858379, -0.01158821, 0.03438867, 4.05041429
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/24_100.v3dpbd_Rivulet.swc_resampled.swc_sorted.swc, 138.00000000, 0.00000000, 3.00000000, 13.00000000, 32.00000000, 20.00000000, 35.11999512, 25.07700348, 52.96399879, 3.15811595, 238.61446505, 2020.29865605, 1660.91395487, 64.15398194, 93.09451899, 8.00000000, 0.77222578, 3.28125000, 0.93954885, 82.56807008, 86.46812016, 2456.00000000, 1071826.79906455, 69212213363.30412292, 633668058591822.00000000, -0.01290011, -0.05455596, 0.00010415, 0.00001913, -0.00002992, -0.00003999, 0.00308404, -0.00150942, 0.00280712, 1.57905797
/home/linusmg/Data/bigneuron/Both_GS_and_auto/gold_163_all_soma_sort_s1_pixelsize/100/processed/25_100.v3dpbd_Rollerball.swc_resampled.swc_sorted.swc, 214.00000000, 0.00000000, 1.00000000, 30.00000000, 62.00000000, 32.00000000, 30.76100159, 22.96199799, 51.99800301, 4.15897196, 233.33440306, 3095.84597240, 3752.61299571, 61.80491612, 87.83768181, 15.00000000, 0.93492541, 2.43548387, 1.05170765, 99.49288156, 88.05685270, 2432.00000000, 513616.57426948, 15039614425.31052208, 91919893802054.50000000, -0.16332272, -1.23358680, 0.01483994, 0.00521822, -0.00855818, -0.01498861, 0.04894062, -0.03121866, 0.09615487, 2.07948598
