"","dataset","group","algorithm","paths","ids","Institution","Model_organism","Age","Brain_region","Cell_type","Labeling_general","Labeling_acronym","Microscopy","Planar"
"32","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_5_B5-left_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_23.swc_resampled.swc.radius.swc_sorted.swc","1","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"43","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_1_D1-right_optic_lobe.v3draw.extract_9.v3dpbd.ano_stamp_2015_06_17_12_57.swc_resampled.swc.radius.swc_sorted.swc","100","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"121","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Series021.v3dpbd_stamp_2015_06_15_17_52.swc_resampled.swc.radius.swc_sorted.swc","101","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"156","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Series009.v3dpbd_stamp_2015_06_15_17_35.swc_resampled.swc.radius.swc_sorted.swc","102","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"171","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Series017.v3dpbd_stamp_2015_06_15_17_40.swc_resampled.swc.radius.swc_sorted.swc","103","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"180","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Series019.v3dpbd_stamp_2015_06_15_17_47.swc_resampled.swc.radius.swc_sorted.swc","104","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"211","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Image4.v3dpbd.ano_stamp_2015_06_15_17_05.swc_resampled.swc.radius.swc_sorted.swc","105","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"234","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Image5.v3dpbd_stamp_2015_06_15_17_13.swc_resampled.swc.radius.swc_sorted.swc","106","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"293","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Image7.v3dpbd_stamp_2015_06_15_17_23.swc_resampled.swc.radius.swc_sorted.swc","107","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"325","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Image10.v3dpbd_stamp_2015_06_15_17_26.swc_resampled.swc.radius.swc_sorted.swc","108","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"358","p_checked6_human_culturedcell_Cambridge_in_vitro_confocal_GFP","Gold_Standard","0","00_sorted_Image31.v3dpbd_stamp_2015_06_15_17_28.swc_resampled.swc.radius.swc_sorted.swc","109","UCambridge","Human-cultured","45 days after neuronal induction","NA","Excitatory neurons stem-cell derived","LV","LV-GFP","Confocal","2D"
"375","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110928_6_E1-left_optic_lobe.v3draw.extract_5.v3dpbd.ano_stamp_2015_06_17_12_22.swc_resampled.swc.radius.swc_sorted.swc","11","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"465","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_10_3dpf_Live_1-28-2010_5-20-37_PM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_16_32.swc_resampled.swc.radius.swc_sorted.swc","110","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"520","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_1_1_Live_2-2-2010_9-52-24_AM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_15_32.swc_resampled.swc.radius.swc_sorted.swc","111","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"566","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_1_5dpf_Live_1-30-2010_12-39-26_PM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_15_54.swc_resampled.swc.radius.swc_sorted.swc","112","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"644","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_6_1_Live_2-2-2010_11-05-38_AM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_16_07.swc_resampled.swc.radius.swc_sorted.swc","113","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"668","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_14_3dpf_Live_1-28-2010_6-16-41_PM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_16_52.swc_resampled.swc.radius.swc_sorted.swc","114","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"776","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_1_3dpf_Live_1-28-2010_2-32-58_PM_med_Green.tif_uint8.v3dpbd_stamp_2015_06_15_15_39.swc_resampled.swc.radius.swc_sorted.swc","115","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
